"ID","calle_colonia","delegacion","cp","tipo","precio","moneda","lat","lon","AREA_CONSTRUIDA","RECAMARAS","BANOS","No_de_pisos","Edad_inmueble","Jardin","Cisterna","Seguridad privada","Zona privada","Alberca","Lavandería","Terraza","Gimnasio","Cuarto de servicio","Chimenea","Sótano","Aire acondicionado","Elevador","Urbanizado"
28661676,"Avenida Insurgentes Sur 800","Benito Juárez",3103,"Departamento","6,783,660 ","MXN",19.3795774,-99.2067202,62,1,1,1,1,"0","0","0","0","1","0","0","1","0","0","0","1","1","0"
28072809,"Avenida Mexico 359 #359","Cuajimalpa de Morelos",5270,"Departamento","4,100,000 ","MXN",19.3660547,-99.2985273,123,3,2,1,7,"0","1","0","1","1","0","0","1","0","0","0","0","1","0"
28662029,"Avenida Nuevo León 300","Cuauhtémoc",6100,"Departamento","6,811,411 ","MXN",19.4093682,-99.1719095,91,2,2,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","1","0"
28360307,"Avenida San Antonio  #158Int. 101","Benito Juárez",3710,"Departamento","7,000,000 ","MXN",19.3832047,-99.1795226,2,3,3,1,20,"0","0","0","0","0","1","1","0","0","0","0","0","0","0"
28753331,"Bahía de Todos los Santos","Miguel Hidalgo",11300,"Departamento","4,900,000 ","MXN",19.4340235,-99.172753,147,3,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28426198,"Baja California","Cuauhtémoc",6760,"Departamento","5,400,000 ","MXN",19.4066211,-99.1587243,125,4,2,1,64,"0","0","0","0","0","0","0","0","1","0","0","0","0","0"
28646180,"Blvd. Adolfo López Mateos","Álvaro Obregón",1010,"Departamento","5,090,000 ","MXN",19.3601153,-99.1930527,76,2,2,1,1,"0","0","1","0","1","0","0","1","0","0","0","0","1","0"
28243385,"Bordo #85","Coyoacán",4980,"Departamento","4,520,000 ","MXN",19.3070724434263,-99.1383095136002,88,2,2,5,6,"0","1","0","0","1","0","0","1","0","0","0","0","1","0"
28662122,"Bosque de Canelos 200","Cuajimalpa de Morelos",5120,"Departamento","10,500,000 ","MXN",19.3904162,-99.2550003,286,3,3,1,38,"0","0","0","0","0","1","0","0","0","1","0","0","1","0"
28603430,"Boulevard Adolfo Lopez Mateos #1753","Álvaro Obregón",1600,"Departamento","4,950,000 ","MXN",19.3677086207217,-99.1916175997223,71,2,2,1,1,"0","0","0","0","1","0","1","1","0","0","0","0","1","0"
28662411,"Boulevard Adolfo López Mateos 2000","Álvaro Obregón",1010,"Departamento","5,450,000 ","MXN",19.3566227,-99.2099821,80,2,2,1,2,"0","0","0","0","1","0","1","1","0","0","0","0","0","0"
28611761,"Bruno Traven","Benito Juárez",3330,"Departamento","14,500,000 ","MXN",19.359184,-99.1630606,352,4,5,1,7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
25811264,"C. Maestro Antonio Caso No. 19","Cuauhtémoc",6030,"Departamento","4,605,553 ","MXN",19.434088,-99.155107,33,1,1,1,1,"0","0","0","0","0","0","0","1","0","0","0","0","1","0"
28488239,"Cadereyta","Cuauhtémoc",6170,"Departamento","8,300,000 ","MXN",19.4096665,-99.1813157,104,2,2,1,3,"0","0","1","0","0","0","0","0","0","0","0","0","1","0"
